MSA_MD_Code,MSA_MD_Name
10100,"Aberdeen, SD (MSA)"
10140,"Aberdeen, WA (MSA)"
10180,"Abilene, TX (MSA)"
10220,"Ada, OK (MSA)"
10300,"Adrian, MI (MSA)"
10380,"Aguadilla-Isabela, PR (MSA)"
10420,"Akron, OH (MSA)"
10460,"Alamogordo, NM (MSA)"
10500,"Albany, GA (MSA)"
10540,"Albany-Lebanon, OR (MSA)"
10580,"Albany-Schenectady-Troy, NY (MSA)"
10620,"Albemarle, NC (MSA)"
10660,"Albert Lea, MN (MSA)"
10700,"Albertville, AL (MSA)"
10740,"Albuquerque, NM (MSA)"
10760,"Alexander City, AL (MSA)"
10780,"Alexandria, LA (MSA)"
10820,"Alexandria, MN (MSA)"
10860,"Alice, TX (MSA)"
10900,"Allentown-Bethlehem-Easton, PA-NJ (MSA)"
10940,"Alma, MI (MSA)"
10980,"Alpena, MI (MSA)"
11020,"Altoona, PA (MSA)"
11060,"Altus, OK (MSA)"
11100,"Amarillo, TX (MSA)"
11140,"Americus, GA (MSA)"
11180,"Ames, IA (MSA)"
11220,"Amsterdam, NY (MSA)"
11244,"Anaheim-Santa Ana-Irvine, CA (MD)"
11260,"Anchorage, AK (MSA)"
11380,"Andrews, TX (MSA)"
11420,"Angola, IN (MSA)"
11460,"Ann Arbor, MI (MSA)"
11500,"Anniston-Oxford, AL (MSA)"
11540,"Appleton, WI (MSA)"
11580,"Arcadia, FL (MSA)"
11620,"Ardmore, OK (MSA)"
11640,"Arecibo, PR (MSA)"
11660,"Arkadelphia, AR (MSA)"
11700,"Asheville, NC (MSA)"
11740,"Ashland, OH (MSA)"
11780,"Ashtabula, OH (MSA)"
11820,"Astoria, OR (MSA)"
11860,"Atchison, KS (MSA)"
11900,"Athens, OH (MSA)"
11940,"Athens, TN (MSA)"
11980,"Athens, TX (MSA)"
12020,"Athens-Clarke County, GA (MSA)"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MSA)"
12100,"Atlantic City-Hammonton, NJ (MSA)"
12120,"Atmore, AL (MSA)"
12140,"Auburn, IN (MSA)"
12180,"Auburn, NY (MSA)"
12220,"Auburn-Opelika, AL (MSA)"
12260,"Augusta-Richmond County, GA-SC (MSA)"
12300,"Augusta-Waterville, ME (MSA)"
12380,"Austin, MN (MSA)"
12420,"Austin-Round Rock-Georgetown, TX (MSA)"
12460,"Bainbridge, GA (MSA)"
12540,"Bakersfield, CA (MSA)"
12580,"Baltimore-Columbia-Towson, MD (MSA)"
12620,"Bangor, ME (MSA)"
12660,"Baraboo, WI (MSA)"
12680,"Bardstown, KY (MSA)"
12700,"Barnstable Town, MA (MSA)"
12740,"Barre, VT (MSA)"
12780,"Bartlesville, OK (MSA)"
12860,"Batavia, NY (MSA)"
12900,"Batesville, AR (MSA)"
12940,"Baton Rouge, LA (MSA)"
12980,"Battle Creek, MI (MSA)"
13020,"Bay City, MI (MSA)"
13060,"Bay City, TX (MSA)"
13100,"Beatrice, NE (MSA)"
13140,"Beaumont-Port Arthur, TX (MSA)"
13180,"Beaver Dam, WI (MSA)"
13220,"Beckley, WV (MSA)"
13260,"Bedford, IN (MSA)"
13300,"Beeville, TX (MSA)"
13340,"Bellefontaine, OH (MSA)"
13380,"Bellingham, WA (MSA)"
13420,"Bemidji, MN (MSA)"
13460,"Bend, OR (MSA)"
13500,"Bennettsville, SC (MSA)"
13540,"Bennington, VT (MSA)"
13620,"Berlin, NH (MSA)"
13660,"Big Rapids, MI (MSA)"
13700,"Big Spring, TX (MSA)"
13720,"Big Stone Gap, VA (MSA)"
13740,"Billings, MT (MSA)"
13780,"Binghamton, NY (MSA)"
13820,"Birmingham-Hoover, AL (MSA)"
13900,"Bismarck, ND (MSA)"
13940,"Blackfoot, ID (MSA)"
